year,hospital,state,breach_type,location,desc,technical_control,process_control,people_control,insider,third_party,hacking,theft_loss,unintended_disclosure,discover_days,num_patients,cost_free_credit,hipaa,hippa_fee,court_case,court_fee,remediation
2012,Harris County Hospital District,TX,Theft,Electronic Medical Record,"Around 3,000 patients of Harris County Hospital District in Houston may have had personal information stolen by a former employee indicted in a federal court this year in a Medicare kickback scheme involving home healthcare operators, according to a Houston Chronicle report.
 
 The hospital district did not name the employee, but the U.S. Department of Justice identified him as Jarvis Thomas, according to the report. Mr. Thomas is accused of selling patient information to Jackson Home Healthcare owner Valdie Jackson, who would allegedly disclose that information to others, according to the report. The charges also allege that Mr. Thomas and Ms. Jackson would use the patient information to bill Medicare for services that were not needed or not provided.
 
 The patient information included names, addresses, telephone numbers and diagnoses. Harris County Hospital District declined to say how the patient data was compromised, according to the report.",0,0,1,1,0,0,1,0,0.0,3000.0,300000.0,1.0,0.0,1.0,0.0,1.0
2015,HealthSouth Rehabilitation Hospital of Round Rock,TX,Theft,Laptop,"Only a few hours after the announcement of the theft of an unencrypted laptop computer from the vehicle of an employee of the New Mexico Department of Health comes news of another.
 
 The latest laptop theft affects 1,359 patients of the HealthSouth Rehabilitation Hospital in Round Rock, TX. An employee of the hospital left an unencrypted laptop computer in the trunk of a vehicle from where it was stolen. As with the NM Department of Health laptop theft, the incident occurred in October. Covered entities have up to two months to issue breach notification letters to patients and the Department of Health and Human Services’ Office for Civil Rights. The notification letters were sent on Tuesday 22, December and OCR has now been notified.
 
 The theft was discovered by HealthSouth on October 26, 2015, five days after the theft actually took place. Once the theft was discovered, the incident was reported to Austin law enforcement. It is not clear why it took five days for hospital staff and law enforcement officers to be notified. The laptop computer has not subsequently been recovered.
 
 The laptop computer was password protected, so the data would not be accessible without the password being cracked. This protection should ensure that data is not exposed, although hackers are able to crack passwords. Without data encryption there is a possibility that the data stored on the device could be accessed.
 
 The data stored on the laptop include patient names, dates of birth, home addresses, contact telephone numbers, referral ID numbers, and medical record numbers. Social Security numbers, health insurance information, and medical diagnoses were also stored on the device. If the password is cracked, the thieves would have all the information needed for them to commit identity theft and insurance fraud. With tax season almost upon us, it would be the ideal time for the thieves to submit fraudulent tax returns on behalf of the patients.
 
 Unfortunately, the theft occurred before HealthSouth Rehabilitation Hospital was able to encrypt the laptop. The hospital, formerly known as Reliant Rehabilitation Hospital Central Texas, was taken over by HealthSouth on October 1, 2015.
 
 Reliant did not encrypt data on portable devices, although HealthSouth does ensure all laptop computers are encrypted to reduce the risk of PHI exposure. In accordance with HealthSouth data security policies, all laptop computers were had been scheduled to be updated and encrypted. HealthSouth had ordered the return of all Reliant Rehabilitation Hospital laptop computers, but the theft occurred before the laptop could be recalled.
 
 With the breach notification letters being mailed so close to Christmas, there is a possibility that some will be delayed. Some patients may therefore receive them over two months after the theft was identified, and certainly more than two months after the theft occurred.
 
 While the data breach will come as bad news for patients, they have been offered identity theft protection and credit monitoring services by HealthSouth for a period of one year without charge.",0,1,0,0,1,0,1,0,5.0,1539.0,153900.0,1.0,0.0,0.0,0.0,0.0
2019,"Henderson County Urgent Care Centers, INC, a wholly owned subsidiary of Henderson County Hospital Corporation d/b/a Margaret R. Pardee Memorial Hospi",NC,Theft,Paper/Films,"On May 9, 2019, Pardee UNC Health Care discovered, and filed a police report for, a break-in at our building located at 2029 Asheville Hwy, Hendersonville. The basement of the Asheville Hwy building was illegally accessed, and electronic equipment removed from the premises. The equipment taken did not have hard drives intact and as a result, no Protected Health Information (PHI) or other personal information was accessed via the stolen electronics.
 
 However, during the onsite investigation immediately following the discovery of the break-in, Pardee Security found a stack of 590 Federal Drug Testing Custody and Control forms on a table centrally located in the basement. The Drug Testing Forms contained information related to routine drug screenings performed at Pardee Urgent Care on Thompson Street from October 2003 to December 2004. We believe that the person(s) who illegally entered the building moved the stack of papers from another location in the basement to the table, where they were in plain view. For this reason, we believe that the person(s) who illegally entered the building may have viewed the information contained on the forms.
 
 Notifications
 The Drug Testing Forms did not include contact information, and the individuals who received drug testing were not patients of Pardee Urgent Care. Accordingly, we lack sufficient contact information to send letters to affected individuals. Consistent with state and federal law, which allows for “substitute notice,” we are providing notification through media channels and here on our website.
 
 Types of Data
 Protected Health Information that may have been accessed includes names and phone numbers, birth dates, social security numbers, results of the drug screen, employer name, and drivers license numbers. While we are unaware of any specific data misuse as a result of this breach, we want to make affected individuals aware of this situation and provide the appropriate information to help protect them from potential identity theft.
 
 Steps You Can Take
 Individuals who had a drug screening from October 2003 to December 2004 at the Pardee Urgent Care located at 212 or 205 Thompson Street in Hendersonville are encouraged to call toll free 866-668-4847 to confirm whether your data may have been accessed.
 Review and monitor your credit by placing a fraud alert on your credit report. Contact information for the three major consumer reporting agencies, as well as information on preventing identity theft from the Federal Trade Commission and North Carolina Attorney General’s Office is available here on our website.
 We will provide affected individuals with free credit monitoring protection services for a period of one year.
 Steps We Are Taking
 We are committed to protecting the privacy of patients’ personal information and take this obligation very seriously.
 
 All paper records previously stored in the lower level of the Asheville Highway location where the break-in occurred are now securely stored at a new location.
 We are reinforcing existing employee training on the importance of maintaining the privacy and security of health and other personal information. 
 We have consolidated paper records previously stored at multiple off-site records storage facilities into one secure storage facility.
 We are reviewing existing record retention protocols and policies and will revise as needed.
 Finally, we are notifying the federal Office for Civil Rights and the North Carolina Attorney General’s Office, consistent with state and federal laws regarding data breaches.",0,1,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Henry County Health Department,OH,Theft,Electronic Medical Record,"A patient at New Hampshire Hospital reportedly hacked into the New Hampshire Department Of Health And Human Services (DHHS), posting information online and creating a potential data breach for 15,000 individuals. Potential data breach at NH hospital from unauthorized access DHHS said in an online statement that it learned on November 4, 2016 that certain internal files had been posted to a social media site. As many as 15,000 DHHS clients who received services from DHHS prior to November 2015 may have had certain information accessed. The affected data includes names, addresses, Social Security numbers, and Medicaid identification numbers. The individual who is believed to have posted the information was reportedly a patient at New Hampshire Hospital, and accessed the data through a computer available for patient use in the hospital library. The data was accessed in October 2015, and the individual was “observed by a staff member to have accessed non-confidential DHHS information on a personal computer located in the New Hampshire Hospital library.” “The staff member notified a supervisor, who took steps to restrict access to the library computers. This incident, however, was not reported to management at New Hampshire Hospital or DHHS. In August 2016, a security official at New Hampshire Hospital informed DHHS that the same individual may have posted on social media some DHHS information. That was immediately reported to the Department of Information Technology, the State Police and other state officials.” DHHS said that there is no evidence that any PHI was misused or that any credit card or banking information was accessed. Individuals who received DHHS services before November 2015 are encouraged to monitor their credit and banking statements, and are told that they “can protect themselves from incidents of identity theft or fraud by reviewing their account statements and monitoring their credit.” “Safeguarding the personal, financial and medical information of DHHS clients is one of this Department’s highest priorities,” DHHS stated. “DHHS will continue to work with state agency partners to make every effort to ensure that the Department’s data remains secure.” Indiana hospital reports PHI made accessible online Indiana-based Fairbanks Hospital recently announced on its website that certain current and former patient PHI was made electronically accessible to Fairbanks employees. Some employees who were not meant to have such PHI access were also given the ability, Fairbanks explained. “The investigation has determined that this issue existed since at least November of 2013, however we are unable to determine whether the issue existed prior to that time,” the hospital said. “We have now corrected this issue so that only the appropriate Fairbanks personnel has electronic access to files containing patient information.” The OCR data breach reporting tool states that 12,994 individuals may have had their information exposed. Potentially affected data included names, Social Security numbers, dates of birth, contact information, patient identification numbers, diagnoses, treatment information, health insurance information, and information related to initial admission and appointment scheduling. The information will also vary by patient, Fairbanks explained, adding that the majority of patients are “only having their name and limited information relating to initial admission and scheduling of appointments impacted.” The hospital said it is not aware of any actual or attempted misuse of the information. Identity and credit monitoring services are not being offered, but Fairbanks listed steps that individuals can take if they are concerned for the security of their information. “We encourage you to remain vigilant against incidents of identity theft and fraud, to review your account statements, and to monitor your credit reports and explanation of benefits forms for suspicious activity,” Fairbanks said. “This also includes reviewing account statements, medical bills, and health insurance statements regularly to ensure that no one has submitted fraudulent medical claims using your name and address.” Medical records stolen from vehicle in Ohio Henry County Health Department (HCHD) in Ohio recently announced on its website that some patient records were stolen from an employee’s vehicle, possibly exposing the information of 574 individuals. A health department nurse had her home broken into on October 22, 2016, according to HCHD. The nurse’s car was also stolen from her garage, and it contained a bag with an HCHD laptop and paper records that contained medical information. HCHD added that the nurse was allowed to have the records for her regular duties because she would occasionally visit patients in their homes. The suspect was apprehended and the car returned, but the laptop and medical records were not found. “At this time, we do not know what has become of the laptop and records,” HCHD stated. “However, the investigation revealed that the laptop and records were not the targets of the theft, but rather the unintended cargo of the suspect’s car theft.” The unsecured PHI on the laptop included patient names, dates of birth, Social Security numbers, phone numbers, medical diagnoses and codes, medication lists, and medical insurance information. “HCHD has increased security with respect to the laptops that we use and how we handle medical records in the field. While all our laptops utilize a password authentication process we have now encrypted all our laptops to prevent access to laptop files in ways that may circumvent the login process. We have also reviewed and updated our processes and procedures for the handling of laptops and medical records necessary for nurse visitation of patients in their homes.” Potentially affected individuals will also be offered a complimentary one-year membership in a credit/identity theft monitoring service.",0,0,1,0,1,0,1,0,0.0,12994.0,1299400.0,1.0,0.0,0.0,0.0,0.0
2010,Henry Ford Health System,MI,Theft,Laptop,"As an update to previous coverage on the Henry Ford Health System breach involving a stolen laptop containing unencrypted PHI: 1. The breach affected 3,700 patients according to the hospital’s notification to HHS under the breach notification requirement of HITECH. 2. The hospital posted a notice to its web site on Nov. 19: Henry Ford Health System has notified patients who were affected by a breach of unsecured personal health information after learning that an employee’s laptop computer storing the information was stolen from an unlocked urology medical office. While the laptop was password protected, the patient information stored on the computer could potentially be viewed on the computer. As a result of the Sept. 24 theft, Henry Ford notified the affected patients in a letter mailed last week from Chief Privacy Officer Meredith Phillips. The letter explained what happened, what information was stored on the laptop, and what steps the health system is taking to prevent future breaches of patient information. Under federal law, health care organizations are required to notify patients within 60 days of a breach of unsecured health information. “The security of our patients’ health information is very important to us, and we sincerely apologize for what happened,” Phillips says. “This laptop did not have the proper security protections that we require for laptop computers storing patient information.” The laptop contained patient information related to prostate services received between 1997 and 2008 and included some but not all of the following information: Patient name, medical record number, date of birth, mailing and e-mail addresses, telephone number, treatment and doctor visits. No Social Security numbers or health insurance identification numbers were stored on the laptop. While the stolen laptop had elements of patient information, Phillips says, it did not contain the patient’s medical record or allow access into the patient’s medical record. To address any patient questions or concerns, Henry Ford set up a toll-free telephone number – 1.888.313.1027 – that is available 24 hours a day, seven days a week. Additionally, the health system offered the affected patients free credit monitoring for one year from Equifax to ensure their information is not used inappropriately. After learning of the stolen laptop on Sept. 24, Henry Ford launched a thorough investigation to determine the identity of the affected patients and the nature of their information stored on the laptop, and ascertain whether proper security protections were installed. To prevent future patient information breaches, Phillips says employees will be re-educated in the steps necessary to protect patient information stored on computers. She also says the process will be improved for how employees obtain a laptop computer for work purposes.",0,1,0,0,1,0,1,0,0.0,3700.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,Henry Ford Health System,MI,Theft,Desktop Computer,"Henry Ford Health System is notifying patients about their health information after a computer storing this information was stolen. The information was unsecured and belonged to 520 patients. The computer was stolen sometime between Aug. 5-7, 2011 from the Infectious Diseases lab at our corporate offices One Ford Place. As of this date, the computer has not been recovered. Henry Ford discovered the theft on Aug. 8, 2011 and immediately began an investigation to determine the affected patients, type of health information stored on the computer and types of security protections installed on the computer. The information stored on the computer was between the time period of March 2009 and August 2011, and included the patient’s name, physician’s name, medical record number, and results of a genotype test that showed the drugs that would work best to treat their condition. The computer was password protected and did not store the patient’s Social Security number, health insurance number, date of birth, or other personal identifying information that could be used for identity theft or fraud. This situation was isolated to this computer, and did not involve any other secured patient information kept by the health system. To address any questions or concerns, Henry Ford has set up a toll-free telephone number for patients to call between 9 a.m. and 9 p.m. Monday-Friday. The number is (866) 523-6770.",0,1,0,0,1,0,1,0,3.0,520.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,Henry Ford Health System,MI,Loss,Other,"The Henry Ford Health System in Detroit has started notifying by postal mail 2,777 patients affected by a missing flash drive. The nonprofit health system, founded in 1915 by auto pioneer Henry Ford, serves 102,000 patients annually. The Henry Ford Health System on Feb. 8 began its investigation of the Jan. 31 security breach to determine the affected patients and what information the device held. The health system is unaware of how the flash drive disappeared, but now knows that patients tested at the hospital for a urinary tract infection from July 2010 to October 2010 were affected. The flash drive held patient names, medical record numbers, the number of tests ordered, test results, test dates and test locations. No Social Security numbers were on the drive, however. Further reading Startup Stellus Claims New Data Platform Drives Massive... Five NVMe Storage Improvements and Why They Matter As part of a ""zero-tolerance policy"" implemented following the Jan. 31 breach, Henry Ford will suspend or terminate employees who leave computers, smartphones or flash drives unsecured, the hospital system reports. Within 90 to 120 days of its Feb. 23 announcement, Henry Ford also plans to encrypt all electronic devices in its facilities and educate employees about how to safeguard health data on both electronic devices and paper. In the letter to affected patients, the hospital offered them a year of identity monitoring. Health systems must notify patients within 60 days of a breach of unsecured health data. ""The security of our patients' health information is our top priority, but we need to do a better job of securing information stored on electronic devices,"" Meredith Phillips, Henry Ford's chief privacy officer, said in a statement. ""Our patients deserve and expect that when we access their information or store it on an electronic device for work purposes, it's done appropriately and with the required security protections. Anything short of that breaches the confidence that Henry Ford has established with its patients for almost 100 years."" Phillips apologized for the incident. ""The disappointing aspect of this situation is that it was preventable,"" she said. ""Common sense should tell you that if you're carrying patients' health information on an electronic device, it needs to be encrypted, period."" No information has been misused, according to Phillips. In a similar case, an employee at Keystone Mercy Health Plan and AmeriHealth Mercy Health Plan, in Philadelphia, misplaced a flash drive on Sept. 20, placing at risk the personal information of 280,000 Medicaid members. Meanwhile, on Sept. 24, a laptop belonging to a Henry Ford employee and containing information about 3,700 patients was stolen from an unlocked urology medical office at the facility. ""This laptop did not have the proper security protections that we require for laptop computers storing patient information,"" Phillips said in a November statement. The laptop held patient information related to prostate procedures from 1997 to 2008, and included patient name, medical record number, date of birth, mailing and e-mail addresses, telephone number, information on treatment and visits to physicians. Like the flash drive lost in January at Henry Ford, the computer did not hold Social Security numbers or health insurance ID numbers. The Henry Ford Health System announced steps to educate employees about protecting patient data stored on laptops. These seminars were expanded to include other electronic devices following the January flash drive breach.",1,1,0,0,1,0,1,0,0.0,2777.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,Henry Ford Health System,MI,PHYS,Other,"Henry Ford Health System is alerting thousands of patients that their personal information that was on old x-ray films was stolen in May from a storage warehouse.
 
 In a statement, the health system said 15,417 patients are affected.
 
 The patients' old x-ray films contained their names, age or date of birth, gender and the location of the medical facility where the x-ray was taken.
 
 Henry Ford said social security numbers, health insurance information or addresses were not on the films.
 
 A warehouse employee was arrested in connection with the theft.",1,1,1,0,1,1,1,0,5.0,15417.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,Henry Ford Health System,MI,Loss,Other,"Whole article long and over many breaches I cut to only the relevant portion Meanwhile, a fifth incident occurred in 2014. In that instance, a Henry Ford physician went out and privately purchased an unencrypted flash drive, thus violating the organization’s iComply policy. He then added to the violation by lending that unencrypted flash drive to a fellow physician, who took the flash drive with him to an out-of-state conference, where he lost it. That flash drive contained the PHI of 2,336 patients. In that case, polices were already in place, and the offending physician was disciplined.
 
 One of the key points of this narrative, Harper told her audience, is that “Repetition helps. We have to continuously educate and train our employees.”",0,1,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Henry Ford Health System,MI,Theft,Paper/Films,NO INFORMATION ABOUT BRACH,0,1,0,0,1,0,1,0,1.0,596.0,59600.0,0.0,0.0,0.0,0.0,0.0
2011,Henry Ford Hospital,MI,Loss,Other,"The Henry Ford Health System in Detroit has started notifying by postal mail 2,777 patients affected by a missing flash drive. The nonprofit health system, founded in 1915 by auto pioneer Henry Ford, serves 102,000 patients annually. The Henry Ford Health System on Feb. 8 began its investigation of the Jan. 31 security breach to determine the affected patients and what information the device held. The health system is unaware of how the flash drive disappeared, but now knows that patients tested at the hospital for a urinary tract infection from July 2010 to October 2010 were affected. The flash drive held patient names, medical record numbers, the number of tests ordered, test results, test dates and test locations. No Social Security numbers were on the drive, however. Further reading Startup Stellus Claims New Data Platform Drives Massive... Five NVMe Storage Improvements and Why They Matter As part of a ""zero-tolerance policy"" implemented following the Jan. 31 breach, Henry Ford will suspend or terminate employees who leave computers, smartphones or flash drives unsecured, the hospital system reports. Within 90 to 120 days of its Feb. 23 announcement, Henry Ford also plans to encrypt all electronic devices in its facilities and educate employees about how to safeguard health data on both electronic devices and paper. In the letter to affected patients, the hospital offered them a year of identity monitoring. Health systems must notify patients within 60 days of a breach of unsecured health data. ""The security of our patients' health information is our top priority, but we need to do a better job of securing information stored on electronic devices,"" Meredith Phillips, Henry Ford's chief privacy officer, said in a statement. ""Our patients deserve and expect that when we access their information or store it on an electronic device for work purposes, it's done appropriately and with the required security protections. Anything short of that breaches the confidence that Henry Ford has established with its patients for almost 100 years."" Phillips apologized for the incident. ""The disappointing aspect of this situation is that it was preventable,"" she said. ""Common sense should tell you that if you're carrying patients' health information on an electronic device, it needs to be encrypted, period."" No information has been misused, according to Phillips. In a similar case, an employee at Keystone Mercy Health Plan and AmeriHealth Mercy Health Plan, in Philadelphia, misplaced a flash drive on Sept. 20, placing at risk the personal information of 280,000 Medicaid members. Meanwhile, on Sept. 24, a laptop belonging to a Henry Ford employee and containing information about 3,700 patients was stolen from an unlocked urology medical office at the facility. ""This laptop did not have the proper security protections that we require for laptop computers storing patient information,"" Phillips said in a November statement. The laptop held patient information related to prostate procedures from 1997 to 2008, and included patient name, medical record number, date of birth, mailing and e-mail addresses, telephone number, information on treatment and visits to physicians. Like the flash drive lost in January at Henry Ford, the computer did not hold Social Security numbers or health insurance ID numbers. The Henry Ford Health System announced steps to educate employees about protecting patient data stored on laptops. These seminars were expanded to include other electronic devices following the January flash drive breach.",0,1,0,0,1,0,1,0,10.0,2777.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,"High Point Regional Health System (via Premier Imaging LLC, a subsidiary)",NC,INSD,Other,"High Point Regional Health System officials said they uncovered a breach involving protected patient information. Hospital representatives became aware early last month of “the possibility of improper use” of confidential information by a former employee of Premier Imaging LLC, a hospital subsidiary, according to the health system. The former employee, who was fired after the breach came to light, had access to patients’ names, addresses, dates of birth, Social Security numbers, driver’s license numbers and insurance information. An investigation by the health system could not determine whether the former employee has any patient information in her possession or has used it in any way. Hospital officials declined to identify the former employee, who worked for Premier Imaging for about five weeks. They contacted High Point police about the breach, which is believed to have occurred between Sept. 14 and Oct. 6. The former employee was fired after taking 47 patient files home, which were later returned, according to police Capt. Tony Hamrick. Officials said the former employee has provided no explanation for taking the files home. Detectives conferred with prosecutors and determined that no crime had been committed. Hospital representatives said the breach was not brought to light by patients or anyone else outside the health system. “We discovered it on our own and immediately took action on this employee,” said Tracie Blackmon, director of Public Relations & Marketing for the health system. “We feel confident we took the correct action once we found out about this, and that’s what’s most important — that our patients are taken care of and protected.” The patient information at issue was obtained during the registration process at Premier Imaging, which provides mammograms, ultrasound, X-rays and related services in the Premier Medical Plaza facility off W. Wendover Avenue. The health system is notifying the individuals whose information may have been acquired. The hospital is partnering with an identity protection service to assist patients with preventing and detecting identity fraud. The health system has taken steps to prevent another breach, including a full review of the process of obtaining patient information at Premier Imaging. “Premier Imaging has stringent policies, procedures and systems in place to protect patient information and takes very seriously our obligation to safeguard the personal and health information of our patients,” said Greg Taylor, chief operating officer. “We regret this incident has occurred and are committed to preventing future occurrences.”",0,0,1,1,0,0,0,1,3.0,47.0,0.0,1.0,0.0,0.0,0.0,1.0
2007,"Highland Hospital (Rochester, NY)",NY,PORT,Other,"Rochester, N.Y. - Highland Hospital is warning patients of a security breach. A hospital spokesperson said a computer containing patient information was stolen from a business office last month. Over 13,000 people are affected. Two laptops were stolen but only one of them had patient information on it. The computer were sold on eBay and the one containing the personal information has been recovered. The other laptop which did not contain personal information has not been recovered. Hospital officials say there is no evidence that theives got any personal information. The hospital is changing its security procedures in response to the incident. Highland has established an information line [1] for concerned patients.",0,1,0,0,1,0,1,0,6.0,13000.0,0.0,1.0,0.0,0.0,0.0,1.0
2014,Highlands Cashier Hospital,NC,Unauthorized Disclosure,Network Server,"Highlands-Cashiers Hospital of Macon County, North Carolina, has informed 25,000 patients of a security vulnerability that left the PHI of some of its patients unprotected for a period of four months, between May and September, 2014. The healthcare provider employed a business associate, TruBridge, to handle some of its healthcare information however the company made a configuration error which potentially exposed the health records of approximately 25,000 individuals. The vulnerability was discovered during routine security screening procedures on Sept 29. HCH identified information such as patient names, addresses, dates of birth, Social Security numbers, health insurance details, diagnoses and treatments were all potentially accessible and were not protected by the company’s firewall. Immediate action was taken and new firewalls were installed to correct the issue and the data has now been made secure and there is believed to be no further risk of exposure. The hospital hired a forensic investigation company to assess the extent of the data breach and the investigation found no evidence that any information had been accessed, even though the data was freely accessible via the internet. Hospital president, Craig James, does not believe the incident can be classed as a HIPAA breach because no data was viewed during the period in which it was potentially accessible. Patients were being notified of the outside possibility that their data had been viewed out of an abundance of caution. The incident has prompted the hospital to contact its business associates and has communicated that the privacy and security of data must be maintained. According to James, “We take our responsibility to protect patient information very seriously and want to reassure you that safeguarding confidential information remains a priority for us.” The security breach has not resulted in the termination of the contract with TruBridge, which will be continuing with the project it has been assigned as HCH advised the public that the company had been very cooperative in the investigation. The hospital plans to convert all of its IT systems over the course of the next 12 months now the company is under the Mission Health System, although it is currently undecided whether TruBridge will play a role in those plans.",1,0,0,0,1,1,0,0,90.0,25000.0,0.0,0.0,0.0,0.0,0.0,1.0
2017,Hill Country Memorial Hospital,TX,HACK,Email,"An unauthorized individual has gained access to an email account of an employee of Hill Country Memorial Hospital and sent a number of fraudulent invoices, but potentially also accessed the protected heath information of certain patients. The Fredericksburg, TX hospital discovered the email account of an emergency room employee had been accessed on February 21, 2017. The attack is believed to have been conducted solely for the purpose of sending fraudulent invoices to the hospital’s accounts payable department. However, the email account contained a range of ePHI which could potentially have been accessed and stolen by the attacker. The investigation into the security breach did not reveal whether any emails had been accessed, and if the ePHI of patients had been viewed or copied, but the possibility could not be ruled out. The email account contained patients’ names, addresses, ID numbers, dates of birth, prescription and treatment information, medical diagnoses, procedure information and Social Security Numbers. In is unclear at this stage how the criminal gained access to the email account, although steps have now been taken to secure the account to ensure further unauthorized access is not possible. A password reset has also been performed on all email accounts and logins have been changed as a precaution against further attacks. The hospital is also evaluating further measures that can be implemented to strengthen security. The hospital has notified law enforcement about the breach and the investigation into the incident is continuing. It is unclear whether any of the fraudulent invoices sent from the breached account resulted in payments being made. The incident has been reported to the Department of Health and Human Services’ Office for Civil Rights. The breach report indicates 8,449 patients have been impacted by the incident. Jayne Pope, Chief Executive Officer of Hill Country Memorial Hospital has apologized to patients for the inconvenience caused to patients and has confirmed that the hospital takes patient privacy very seriously. Out of an abundance of caution, all patients impacted by the incident have been offered credit monitoring and identity theft protection services for 12 months without charge.",1,0,0,0,1,1,0,0,60.0,8449.0,844900.0,1.0,0.0,0.0,0.0,1.0
2010,Holy Cross Hospital,FL,Theft,Paper/Films,"Fort Lauderdale, Fla.-based Holy Cross Hospital has notified nearly 10,000 patients that their protected health information and Social Security numbers may have been inappropriately accessed by a former employee for tax fraud purposes. The hospital, part of the Catholic Health East health system, announced this week that the employee accessed patient health records from November 2011 to August 2013. Data accessed included patient names, dates of birth, addresses and Social Security numbers. When asked what type of PHI was accessed, Holy Cross officials did not immediately reply for comment. [See also: More HIPAA enforcement coming and Ready or not: HIPAA gets tougher today.] ""The hospital’s investigation indicated that the employee may have intended to utilize the information in filing fraudulent tax returns,"" according to a company notice. ""The employee was terminated, and efforts are underway to prosecute this individual to the fullest extent possible."" This is the second breach for Holy Cross Hospital, according to data from the Department of Health and Human Services. Back in 2010, hospital employees managed to steal Social Security numbers and protected health information of some 1,500 patients. Because the 1,500 patients could not be identified, officials ended up notifying 44,000 patients of a potential breach involving their PHI.",0,0,1,1,0,0,0,0,180.0,44000.0,0.0,1.0,0.0,0.0,0.0,1.0
2010,"Holy Cross Hospital, Office of Dr. Elliot Stein",FL,INSD,Other,"A criminal investigation uncovered 38 patient files. The files contained names, addresses, Social Security numbers, dates of birth and descriptions of initial diagnosis from Emergency Room visits. An investigation that began in June showed that an employee was responsible; that employee was fired. The employee may have inappropriately accessed 1,500 patient files between April 2009 and September of 2010. The Hospital now limits the amount of key personal data included in the type of documents involved in the incident.UPDATE (2/17/2011): Five other suspects have been arrested within the past month. Authorities learned of the fraud ring in May of 2010.UPDATE (4/15/2011): A former Holy Cross Hospital employee was sentenced to prison for disclosing patient information. The woman was sentenced to 24 months in prison with 12 months of home confinement, followed by three years of supervised release. After being caught selling patient information from her employer, she pleaded guilty to disclosing individually identifiable health information.UPDATE (6/21/2011): It was revealed that one of the other suspects is being charged with selling information from the office of Dr. Elliot Stein in Aventura. A criminal investigation uncovered lists of patient information from Dr. Stein that included names, Social Security numbers, addresses, dates of birth, and health information.",0,0,1,1,0,0,0,0,180.0,38.0,0.0,1.0,0.0,1.0,0.0,1.0
2013,"Holy Cross Hospital, INC",FL,Theft,Desktop Computer,"Holy Cross Hospital in Fort Lauderdale, Fla. has notified 9,900-patients of a data breach that occurred between November 2011 and August 2013. According to Miami.cbslocal.com, a Holy Cross employee accessed patient names, dates of birth, addresses and Social Security Numbers. A hospital investigation found that the employee intended to use the information for fake tax return purposes. “The employee was terminated, and efforts are underway to prosecute this individual to the fullest extent possible,” the hospital said in a statement to nbcmiami.com. “Holy Cross Hospital takes this issue very seriously. Although evidence does not indicate that the patient information was used for other forms of identity theft and fraud, all patients affected by this incident have been notified by mail and are being offered free credit monitoring services.” Holy Cross Hospital fired the employee and said it wants the employee to face criminal prosecution. It also established a dedicated call center for affected patients with questions. The report did not explain how the records were accessed, whether they were paper or electronic, what rules the organization had in place to prevent this type of breach and how it plans to avoid similar incidents in the future.",0,0,1,1,0,0,0,0,720.0,9900.0,0.0,1.0,0.0,0.0,0.0,0.0
2016,Wyoming Medical Center,WY,HACK,Email,"Records of nearly 3,200 Wyoming Medical Center patients may have been accessed in February, the hospital reported Thursday. On Feb. 25, an unidentified third party had access for 15 minutes to two Wyoming Medical Center email accounts containing patient records, the Casper hospital said in a statement. The records contained patient names, medical record numbers, account numbers, dates of hospital service, birth dates and some medical information, the statement said. Patients’ addresses, Social Security numbers or insurance information were not in the records. Read more on Casper Star-Tribune. Update: Here’s the center’s public statement: Wyoming Medical Center takes the privacy of our patients very seriously and strives to protect the privacy of each patient. Although there is little risk to patients, Wyoming Medical Center wants to inform the public of a recent incident which allowed unauthorized access to limited protected patient health information (PHI) affecting 3,184 patients. On Feb. 25, 2016, Wyoming Medical Center discovered that an unauthorized third party had access to two organizational email accounts.  No evidence exists to indicate that PHI was viewed or copied from the compromised email accounts. Because the unauthorized party only had access to the email accounts for 15 minutes, we believe that no PHI was viewed or acquired. If the unauthorized party did view patient information, they would have had access to view patient names, medical record numbers, account numbers, dates of hospital service, dates of birth and limited medical information. Wyoming Medical Center took immediate steps to secure the email accounts. Although this is a serious breach, the information potentially disclosed did not include patients’ addresses, Social Security Numbers or insurance information. Because of the limited information contained within the compromised email accounts, there is little to no risk to patients who may have been affected. In light of this recent event, Wyoming Medical Center is reviewing our internal email safeguards and policies to protect against future incidents.  Wyoming Medical Center has reported this event to the Office for Civil Rights, the government agency that oversees HIPAA privacy compliance (Health Insurance Portability and Accountability Act Privacy Law). If you were personally affected, and we have your current address, you will be receiving a letter informing you of this breach. Should you have any questions, please contact Wyoming Medical Center’s Privacy Office at 307-577-2545 or 800-822-7201 extension 2545.",1,0,0,0,1,1,0,0,60.0,3184.0,0.0,0.0,0.0,0.0,0.0,1.0
